#5242
21
#inobs
74 263 771 550 192  44   7   4   6  14 114 186 170 110 134  82 457 523 588 647 306
#YEAR RIVER l1 l2 dt dl
1990 2 254 305 444 41.95
1990 2 253 304 519 35.89
1990 2 269 296 444 22.21
1990 2 255 312 551 37.78
1990 2 178 230 426 44.58
1990 2 225 267 600 25.57
1990 2 246 280 482 25.76
1990 2 319 321 485 1.51
1990 2 292 307 468 11.71
1990 2 242 258 601 9.72
1990 2 243 278 520 24.58
1990 2 234 268 461 26.94
1990 2 255 278 485 17.32
1990 2 315 326 430 9.34
1990 2 221 259 601 23.09
1990 2 250 305 445 45.14
1990 2 375 382 607 4.21
1990 2 220 265 523 31.43
1990 2 205 229 461 19.02
1990 2 218 242 396 22.14
1990 2 208 252 523 30.73
1990 2 252 293 571 26.23
1990 2 211 251 485 30.12
1990 2 234 267 523 23.05
1990 2 320 338 569 11.55
1990 2 305 325 461 15.85
1990 2 384 374 415 -8.8
1990 2 412 414 510 1.43
1990 2 361 370 453 7.26
1990 2 392 394 512 1.43
1990 2 277 287 447 8.17
1990 2 383 299 484 -63.39
1990 2 386 394 414 7.06
1990 2 241 392 399 138.23
1990 2 156 213 467 44.58
1990 2 241 294 567 34.14
1990 2 391 405 464 11.02
1990 2 257 215 511 -30.02
1990 2 357 367 511 7.15
1990 2 274 282 478 6.11
1990 2 396 406 538 6.79
1990 2 244 281 478 28.27
1990 2 270 301 481 23.54
1990 2 352 350 455 -1.61
1990 2 316 333 463 13.41
1990 2 240 263 459 18.3
1990 2 325 327 542 1.35
1990 2 215 248 513 23.5
1990 2 175 237 456 49.66
1990 2 211 264 513 37.74
1990 2 357 392 484 26.41
1990 2 215 262 545 31.5
1990 2 206 257 544 34.24
1990 2 389 399 423 8.63
1990 2 272 313 473 31.66
1990 2 370 386 452 12.93
1990 2 372 375 459 2.39
1990 2 353 363 405 9.02
1990 2 333 335 375 1.95
1990 2 249 303 507 38.9
1990 2 382 393 557 7.21
1990 2 337 350 449 10.58
1990 2 315 333 389 16.9
1990 2 313 335 468 17.17
1990 2 333 345 431 10.17
1990 2 369 374 447 4.09
1990 2 320 341 531 14.44
1990 2 420 423 378 2.9
1990 2 225 253 451 22.68
1990 2 425 434 452 7.27
1990 2 223 282 470 45.85
1990 2 383 386 451 2.43
1990 2 172 235 444 51.83
1990 2 241 290 421 42.51
1991 2 358 387 380 27.87
1991 1 395 410 662 8.28
1991 2 416 415 497 -0.73
1991 2 379 377 473 -1.54
1991 2 225 245 366 19.96
1991 1 325 338 440 10.79
1991 2 323 325 375 1.95
1991 2 254 260 401 5.47
1991 2 272 286 398 12.85
1991 2 248 280 470 24.87
1991 2 382 378 395 -3.7
1991 2 265 291 392 24.23
1991 2 399 412 507 9.37
1991 2 365 363 407 -1.79
1991 2 366 368 397 1.84
1991 1 355 360 548 3.33
1991 1 377 373 549 -2.66
1991 1 386 386 611 0
1991 1 333 338 523 3.49
1991 1 315 327 473 9.27
1991 1 312 334 524 15.33
1991 1 313 335 428 18.77
1991 1 403 406 470 2.33
1991 1 268 285 513 12.1
1991 1 432 430 558 -1.31
1991 1 349 348 466 -0.78
1991 1 345 361 395 14.79
1991 1 342 353 467 8.6
1991 1 341 345 552 2.65
1991 1 220 224 443 3.3
1991 1 326 335 468 7.02
1991 1 335 352 495 12.54
1991 1 334 342 517 5.65
1991 1 365 366 639 0.57
1991 1 318 329 550 7.3
1991 1 329 345 420 13.91
1991 1 392 395 462 2.37
1991 1 321 342 411 18.66
1991 1 329 326 411 -2.67
1991 1 308 329 416 18.44
1991 1 316 326 386 9.46
1991 1 392 365 415 -23.76
1991 1 340 354 614 8.33
1991 1 302 317 410 13.36
1991 1 390 388 413 -1.77
1991 1 340 363 417 20.15
1991 1 336 350 367 13.93
1991 1 373 369 465 -3.14
1991 1 325 336 410 9.8
1991 1 308 315 471 5.43
1991 1 384 376 492 -5.94
1991 1 346 328 409 -16.07
1991 1 306 322 495 11.81
1991 1 353 364 411 9.78
1991 1 284 291 414 6.18
1991 1 308 340 415 28.16
1991 1 315 324 408 8.06
1991 1 333 353 409 17.86
1991 1 449 447 413 -1.77
1991 1 311 316 385 4.74
1991 1 326 319 443 -5.77
1991 1 381 385 611 2.39
1991 1 302 310 367 7.96
1991 1 364 373 436 7.54
1991 1 252 292 589 24.8
1991 1 310 334 463 18.93
1991 1 320 329 465 7.07
1991 1 305 322 409 15.18
1991 1 347 370 468 17.95
1991 1 328 338 385 9.49
1991 1 284 313 366 28.94
1991 1 272 285 382 12.43
1991 1 343 358 410 13.36
1991 1 298 299 382 0.96
1991 1 278 296 491 13.39
1991 2 224 247 390 21.54
1991 2 306 304 471 -1.55
1991 1 411 410 400 -0.91
1991 1 325 338 373 12.73
1991 2 195 282 442 71.89
1991 2 225 271 406 41.38
1991 2 289 315 526 18.05
1991 2 355 369 494 10.35
1991 2 374 381 401 6.38
1991 2 199 252 492 39.35
1991 2 170 244 403 67.07
1991 1 277 292 406 13.49
1991 2 383 388 548 3.33
1991 2 275 310 402 31.8
1991 2 413 421 422 6.92
1991 2 369 380 539 7.45
1991 2 369 379 398 9.18
1991 2 178 213 421 30.37
1991 2 223 283 417 52.55
1991 2 193 237 419 38.36
1991 2 277 285 389 7.51
1991 2 265 273 391 7.47
1991 2 200 242 382 40.16
1991 2 387 388 388 0.94
1991 2 162 225 502 45.84
1991 2 162 213 384 48.51
1991 2 169 248 502 57.48
1991 2 169 232 417 55.18
1991 2 224 265 382 39.2
1991 2 473 392 530 -55.82
1991 2 235 259 385 22.77
1991 2 165 218 472 41.01
1991 2 175 220 410 40.09
1991 2 344 354 529 6.9
1991 2 235 253 408 16.11
1991 2 221 244 374 22.46
1991 2 195 237 379 40.48
1991 2 386 382 513 -2.85
1991 2 400 385 457 -11.99
1991 1 396 400 491 2.98
1991 2 392 388 368 -3.97
1991 2 296 321 366 24.95
1991 2 318 338 368 19.85
1991 2 174 198 459 19.1
1991 2 162 253 398 83.51
1991 2 245 282 367 36.82
1991 2 271 285 397 12.88
1991 2 247 261 367 13.93
1991 2 166 209 367 42.79
1991 2 182 234 392 48.45
1991 2 178 241 484 47.54
1991 2 349 354 389 4.69
1991 2 292 311 508 13.66
1991 2 152 195 415 37.85
1991 2 399 385 377 -13.56
1991 2 280 302 441 18.22
1991 2 375 385 501 7.29
1991 2 255 272 382 16.25
1991 2 214 244 438 25.02
1991 2 293 325 497 23.52
1991 2 151 215 469 49.84
1991 2 350 364 486 10.52
1991 2 159 212 380 50.94
1991 2 328 365 493 27.41
1991 2 330 332 374 1.95
1991 2 235 259 438 20.01
1991 2 295 320 375 24.35
1991 2 266 293 402 24.53
1991 2 296 330 471 26.37
1991 2 292 310 470 13.99
1991 2 166 209 407 38.59
1991 2 345 344 467 -0.78
1991 2 361 360 466 -0.78
1991 2 227 248 407 18.85
1991 2 170 217 370 46.4
1991 2 236 267 374 30.27
1991 2 189 227 400 34.7
1991 2 265 284 494 14.05
1991 2 341 340 376 -0.97
1991 2 186 272 460 68.29
1991 2 283 342 489 44.07
1991 2 394 382 492 -8.91
1991 2 306 316 402 9.09
1991 2 198 252 401 49.19
1991 2 178 240 490 46.22
1991 2 234 269 435 29.39
1991 2 330 339 371 8.86
1991 1 302 322 479 15.25
1991 1 439 436 484 -2.26
1991 1 193 200 479 5.34
1991 2 197 240 391 40.17
1991 2 289 278 479 -8.39
1991 2 412 418 470 4.66
1991 2 183 257 450 60.06
1991 2 237 272 475 26.91
1991 2 310 325 389 14.08
1991 2 160 210 422 43.28
1991 2 403 404 389 0.94
1991 2 209 278 425 59.3
1991 2 150 177 389 25.35
1991 2 190 267 446 63.06
1991 2 291 302 467 8.6
1991 2 441 444 417 2.63
1991 2 189 249 477 45.94
1991 2 379 378 474 -0.77
1991 2 189 225 452 29.09
1991 2 162 231 450 56
1991 2 336 350 384 13.32
1991 2 162 205 450 34.9
1991 2 175 225 450 40.58
1991 2 186 230 476 33.76
1991 2 165 254 450 72.24
1991 2 167 218 427 43.62
1991 2 170 221 448 41.58
1991 2 244 280 383 34.33
1991 2 152 235 446 67.97
1991 2 161 222 447 49.84
1991 2 240 282 381 40.26
1991 2 166 240 446 60.6
1991 2 230 222 382 -7.65
1991 2 177 224 382 44.94
1991 2 155 191 382 34.42
1991 2 402 388 442 -11.57
1991 2 207 219 413 10.61
1991 2 184 245 379 58.79
1991 2 167 230 472 48.75
1991 2 180 245 445 53.35
1991 2 211 266 445 45.14
1991 2 167 229 440 51.47
1991 2 237 250 412 11.52
1991 2 185 204 383 18.12
1991 2 418 425 472 5.42
1991 2 176 304 445 105.06
1991 2 156 226 470 54.4
1991 2 215 258 414 37.94
1991 2 154 207 460 42.08
1991 2 325 335 449 8.13
1991 2 160 213 453 42.73
1991 2 250 260 395 9.25
1991 2 301 318 452 13.74
1991 2 165 224 410 52.56
1991 2 194 256 424 53.41
1991 2 200 260 428 51.2
1991 2 368 376 391 7.47
1991 2 181 223 395 38.84
1991 2 323 341 389 16.9
1991 2 248 275 395 24.97
1991 2 157 207 427 42.77
1991 2 159 217 454 46.66
1991 2 218 275 400 52.05
1991 2 195 234 397 35.88
1991 2 286 329 424 37.04
1991 2 365 360 423 -4.32
1991 2 390 394 419 3.49
1991 2 229 247 448 14.68
1991 2 228 283 390 51.51
1991 2 187 215 447 22.88
1991 2 267 285 447 14.71
1991 2 243 260 390 15.92
1991 2 283 311 392 26.09
1991 2 285 302 424 14.64
1991 2 382 380 452 -1.62
1991 2 312 345 447 26.96
1991 1 425 433 421 6.94
1991 1 420 425 420 4.35
1991 2 178 225 396 43.35
1991 1 384 386 397 1.84
1991 1 402 401 368 -0.99
1991 2 236 290 400 49.31
1991 2 195 251 369 55.43
1991 2 383 380 393 -2.79
1991 1 374 373 426 -0.86
1991 2 356 356 424 0
1991 2 230 273 396 39.66
1991 2 157 178 392 19.57
1991 2 359 360 423 0.86
1991 2 408 410 415 1.76
1991 2 280 318 419 33.13
1991 2 340 344 421 3.47
1991 2 314 346 392 29.82
1991 2 153 240 399 79.64
1991 2 169 223 370 53.31
1991 2 170 215 393 41.82
1991 2 207 269 368 61.54
1991 2 151 215 394 59.33
1991 2 194 275 390 75.86
1991 2 162 207 389 42.25
1991 2 151 225 391 69.13
1992 2 347 347 379 0
1992 1 410 412 375 1.95
1992 2 359 350 388 -8.47
1992 1 410 417 381 6.71
1992 1 332 332 541 0
1992 2 375 374 460 -0.79
1992 2 443 460 461 13.47
1992 2 298 303 430 4.25
1992 1 314 330 370 15.79
1992 2 258 276 549 11.98
1992 2 377 380 446 2.46
1992 2 357 360 557 1.97
1992 2 403 408 387 4.72
1992 1 391 404 518 9.17
1992 2 387 390 591 1.85
1992 2 181 237 446 45.86
1992 2 265 283 382 17.21
1992 2 366 383 473 13.13
1992 2 251 270 471 14.73
1992 2 263 277 406 12.59
1992 2 221 268 536 32.03
1992 2 405 405 437 0
1992 2 344 353 439 7.49
1992 2 343 343 385 0
1992 2 365 359 463 -4.73
1992 2 351 351 549 0
1992 2 361 370 548 6
1992 2 313 321 463 6.31
1992 2 365 368 459 2.39
1992 2 375 377 568 1.29
1992 2 307 320 584 8.13
1992 2 362 362 460 0
1992 2 380 380 576 0
1992 1 386 392 455 4.82
1992 2 340 342 560 1.3
1992 2 334 338 391 3.74
1992 2 335 340 578 3.16
1992 2 281 325 421 38.17
1992 2 348 358 448 8.15
1992 2 367 368 520 0.7
1992 2 361 367 460 4.76
1992 2 365 375 480 7.61
1992 2 336 345 416 7.9
1992 2 320 335 479 11.44
1992 2 353 370 512 12.13
1992 2 378 387 531 6.19
1992 2 273 295 418 19.22
1992 2 319 336 386 16.09
1992 2 330 341 531 7.57
1992 2 322 334 389 11.27
1992 2 370 356 386 -13.25
1992 2 313 305 378 -7.73
1992 2 296 303 441 5.8
1992 2 302 305 436 2.51
1992 1 381 381 395 0
1992 2 309 325 527 11.09
1992 2 383 377 389 -5.63
1992 1 397 395 485 -1.51
1992 2 422 430 535 5.46
1992 2 368 376 383 7.63
1992 2 206 240 392 31.68
1992 2 355 366 546 7.36
1992 2 280 290 387 9.44
1992 2 342 347 561 3.26
1992 2 277 302 449 20.34
1992 1 268 299 521 21.73
1992 2 359 364 441 4.14
1992 2 377 386 418 7.86
1992 2 383 385 424 1.72
1992 2 353 358 387 4.72
1992 2 218 260 368 41.69
1992 2 378 389 595 6.75
1992 2 400 408 548 5.33
1992 2 400 390 491 -7.44
1992 2 378 382 431 3.39
1992 2 244 275 422 26.83
1992 2 378 386 472 6.19
1992 2 393 398 432 4.23
1992 2 400 395 389 -4.69
1992 2 362 362 382 0
1992 2 382 393 480 8.37
1992 2 375 380 407 4.49
1992 2 310 327 450 13.8
1992 2 335 338 391 2.8
1992 2 283 320 419 32.25
1992 2 270 286 442 13.22
1992 2 397 401 382 3.82
1992 2 312 324 499 8.78
1992 1 348 356 492 5.94
1992 2 239 280 581 25.77
1992 2 200 285 459 67.64
1992 2 265 292 624 15.8
1992 2 352 356 543 2.69
1992 2 336 341 412 4.43
1992 2 347 375 473 21.62
1992 2 270 280 384 9.51
1992 2 325 331 398 5.51
1992 2 401 414 499 9.52
1992 2 323 323 407 0
1992 2 190 230 413 35.38
1992 2 211 259 419 41.84
1992 1 385 393 368 7.94
1992 2 233 293 665 32.95
1992 2 358 361 383 2.86
1992 2 410 406 384 -3.8
1992 2 334 335 433 0.84
1992 2 308 321 382 12.43
1992 2 270 301 545 20.78
1992 2 309 325 475 12.3
1992 2 201 265 519 45.04
1992 2 312 316 414 3.53
1992 2 170 240 466 54.87
1992 2 358 353 413 -4.42
1992 2 334 340 387 5.66
1992 2 212 250 515 26.95
1992 2 207 227 366 19.96
1992 2 366 354 383 -11.44
1992 2 210 257 387 44.36
1992 2 331 337 377 5.81
1992 2 360 360 389 0
1992 2 179 261 663 45.17
1992 1 220 264 463 34.71
1992 2 358 364 444 4.94
1992 2 283 292 416 7.9
1992 2 216 266 424 43.07
1992 2 373 368 464 -3.94
1992 2 339 346 485 5.27
1992 2 255 295 473 30.89
1992 2 272 296 519 16.89
1992 2 327 350 455 18.46
1992 2 243 285 447 34.32
1992 2 320 339 422 16.44
1992 2 370 377 662 3.86
1992 2 354 357 387 2.83
1992 1 415 424 609 5.4
1992 2 295 346 510 36.52
1992 2 252 285 474 25.43
1992 2 237 286 384 46.61
1992 2 333 340 408 6.27
1992 2 345 355 386 9.46
1992 1 377 394 438 14.18
1992 2 303 316 519 9.15
1992 1 321 323 403 1.81
1992 2 338 342 640 2.28
1992 2 218 233 408 13.43
1992 2 332 340 384 7.61
1992 2 237 278 391 38.3
1992 2 408 402 484 -4.53
1992 2 236 285 414 43.23
1992 2 197 212 380 14.42
1992 2 258 275 484 12.83
1992 2 413 414 450 0.81
1992 2 302 319 451 13.77
1992 2 349 350 414 0.88
1992 2 206 231 447 20.43
1992 2 238 273 446 28.66
1992 1 255 302 461 37.24
1992 2 245 302 539 38.63
1992 2 287 317 415 26.4
1992 2 178 222 446 36.03
1992 2 170 213 426 36.87
1992 2 355 350 426 -4.29
1992 2 338 378 414 35.29
1992 2 239 207 380 -30.76
1992 2 181 253 543 48.43
1992 2 205 241 517 25.43
1992 2 190 245 550 36.52
1992 2 183 242 552 39.04
1992 2 189 248 545 39.54
1992 2 304 309 501 3.65
1992 2 235 286 509 36.6
1992 2 220 233 429 11.07
1992 2 231 302 488 53.14
1992 2 284 316 381 30.68
1992 1 287 296 421 7.81
1992 2 195 277 416 72
1992 2 215 271 511 40.03
1992 2 352 358 409 5.36
1992 1 215 262 428 40.11
1992 2 248 274 476 19.95
1992 2 291 310 387 17.93
1992 2 314 322 444 6.58
1992 2 388 402 366 13.97
1992 2 252 302 455 40.14
1992 2 187 256 696 36.21
1992 2 226 264 473 29.34
1992 2 228 295 494 49.54
1992 2 203 264 446 49.96
1992 2 370 374 439 3.33
1992 2 407 403 436 -3.35
1992 2 282 319 471 28.69
1992 2 174 251 594 47.35
1992 2 355 355 537 0
1992 2 272 309 390 34.65
1992 2 193 296 555 67.79
1992 2 365 380 381 14.38
1992 2 255 285 479 22.88
1992 2 202 282 539 54.21
1992 2 311 312 367 1
1992 2 222 275 427 45.34
1992 1 360 361 454 0.8
1992 2 165 233 613 40.52
1992 2 190 230 448 32.61
1992 2 211 280 424 59.44
1992 2 255 277 387 20.76
1992 2 300 322 414 19.41
1992 2 267 288 368 20.84
1992 2 330 335 414 4.41
1992 2 324 332 474 6.16
1992 2 261 276 419 13.08
1992 2 384 396 513 8.54
1992 2 227 265 416 33.36
1992 2 253 273 477 15.31
1992 2 241 275 446 27.84
1992 2 289 307 416 15.8
1992 2 385 392 564 4.53
1992 2 391 396 413 4.42
1992 2 164 222 404 52.44
1992 1 162 213 427 43.62
1992 2 208 279 540 48.02
1992 1 287 295 370 7.9
1992 2 221 269 472 37.14
1992 2 306 307 487 0.75
1992 2 343 335 391 -7.47
1992 2 187 261 440 61.43
1992 2 264 273 386 8.52
1992 2 186 280 541 63.46
1992 1 415 414 702 -0.52
1992 2 286 296 409 8.93
1992 2 325 330 448 4.08
1992 2 277 285 449 6.51
1992 2 249 278 393 26.95
1992 2 352 371 509 13.63
1992 2 184 225 413 36.26
1992 2 290 337 443 38.75
1992 2 275 305 574 19.09
1992 2 270 322 462 41.11
1992 2 316 325 370 8.88
1992 2 269 320 550 33.87
1992 2 343 351 520 5.62
1992 2 371 380 421 7.81
1992 2 361 376 549 9.98
1992 1 393 395 611 1.2
1992 2 362 355 368 -6.95
1992 1 275 320 662 24.83
1992 1 382 405 395 21.27
1992 2 173 217 389 41.31
