#Data for HBC 1989:2011
#syr, nyr, dt
1989 2011 1
#Number of gears
2
#nbin
46
#xbin
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24
25 26 27 28 29
30 31 32 33 34
35 36 37 38 39
40 41 42 43 44
45 46 47 48 49
50
#Array dimensions(C)
20 38
23 45
#Array dimensions(MR)
20 37 2
23 44 2
#Length Intervals for (C)
12 14 15 16 17
18 19 20 21 22
23 24 25 26 27
28 29 30 31 32
33 34 35 36 37
38 39 40 41 42
43 44 45 46 47
48 49
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25
26 27 28 29 30
31 32 33 34 35
36 37 38 39 40
41 42 43 44 45
46 47 48 49
#Length Intervals for (MR)
12 14 15 16 17
18 19 20 21 22
23 24 25 26 27
28 29 30 31 32
33 34 35 36 37
38 39 40 41 42
43 44 45 46 47
48 49
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25
26 27 28 29 30
31 32 33 34 35
36 37 38 39 40
41 42 43 44 45
46 47 48 49
#Captures by year (row) and length (col)
1989 1 0 0 0 1 0 2 4 2 2 7 1 3 1 3 4 4 10 19 16 38 38 30 31 24 21 32 14 4 2 2 1 1 2 1 0 0
1990 0 0 0 0 0 0 0 1 1 3 0 2 0 1 1 2 4 0 5 2 12 12 9 15 5 12 22 7 8 9 3 0 2 1 0 0 0
1991 0 0 6 12 9 4 11 5 10 4 11 11 10 9 12 14 11 28 28 45 41 51 55 52 67 47 58 47 20 12 7 6 4 0 2 2 0
1992 0 0 3 7 2 4 7 11 6 8 9 12 4 3 4 15 10 15 32 35 46 42 45 64 67 57 40 33 26 17 4 5 2 0 1 0 0
1993 0 2 4 3 3 11 13 14 15 19 16 16 14 15 14 16 19 20 25 44 46 61 72 78 66 78 57 60 33 19 9 5 3 4 1 0 1
1994 0 0 0 0 0 0 1 2 1 1 3 1 0 0 4 2 3 3 3 9 11 17 30 29 21 30 19 15 11 7 4 4 5 2 0 1 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 1 2 2 6 4 7 14 16 13 15 10 4 9 6 3 0 1 0 0 0 0
1996 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 2 1 1 1 4 4 6 4 7 11 7 8 4 2 3 0 0 1 0 0 0 0
1997 0 0 0 0 0 0 0 1 0 1 1 0 0 1 2 0 0 1 4 7 12 13 14 20 19 23 16 8 6 1 1 1 1 0 0 0 0
1998 0 0 0 0 0 2 1 2 1 0 0 0 0 0 1 1 2 0 1 4 1 3 3 4 7 7 6 4 6 1 1 0 0 0 0 0 0
1999 0 0 0 0 0 3 0 3 1 2 0 1 1 1 0 1 1 2 1 0 4 1 1 3 3 6 3 6 3 6 1 0 0 0 0 0 0
2000 0 0 0 0 0 1 0 1 1 2 3 0 0 1 0 0 1 2 3 1 2 3 4 7 3 10 6 12 5 3 4 4 1 0 1 0 0
2001 0 0 0 0 0 2 6 6 9 8 4 5 2 1 1 0 4 2 0 4 2 6 15 15 19 28 37 21 19 8 4 2 1 1 0 0 1
2002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
2003 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 1 1 1 1 2 7 0 5 2 0 1 0 1 0 0 0
2004 0 0 0 0 0 0 1 1 1 4 0 1 0 2 0 1 0 1 1 0 0 1 1 1 7 7 5 4 4 2 1 1 2 0 0 0 0
2005 0 0 0 0 1 3 11 9 14 8 8 9 0 1 0 4 0 2 1 1 2 2 5 4 10 7 22 18 15 4 3 5 3 0 1 0 0
2006 0 0 0 0 1 3 5 5 1 2 3 3 5 1 1 1 0 0 1 1 1 0 1 0 3 3 7 5 0 3 2 0 0 0 0 0 0
2007 0 0 0 0 1 10 35 31 28 18 12 16 11 8 8 6 1 1 1 1 0 1 2 1 6 4 4 5 5 5 2 0 1 0 0 0 0
2010 0 0 0 0 0 0 1 4 3 8 9 4 7 3 1 1 4 0 0 1 1 0 1 1 4 3 5 2 5 3 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 2 2 3 19 24 46 34 29 42 40 26 14 16 11 12 12 8 10 12 21 21 21 16 23 27 16 14 17 7 4 3 1 3 1 0 0 0 0
1990 0 0 0 0 0 0 1 2 7 8 2 18 7 19 42 34 34 35 32 25 21 14 13 10 11 8 16 14 13 11 15 11 19 12 2 9 6 1 0 0 0 0 0 1
1991 0 0 0 0 0 0 0 0 5 259 340 306 264 276 253 199 169 155 135 165 142 131 154 123 92 97 89 110 93 90 97 61 61 46 24 18 9 4 2 3 3 2 0 0
1992 0 0 0 0 1 1 0 0 1 201 197 182 197 178 199 187 178 189 149 150 152 145 152 150 158 159 188 195 211 240 225 243 170 138 86 51 30 12 13 4 3 0 3 1
1993 0 0 0 0 0 0 0 18 49 655 563 598 414 381 274 197 212 184 139 138 136 163 157 149 134 147 169 156 196 210 242 173 151 125 78 56 29 10 6 1 2 0 1 0
1994 0 0 0 0 0 0 0 0 8 146 162 207 235 228 222 188 181 136 104 82 74 77 68 69 61 69 59 78 92 86 86 84 60 54 31 26 15 6 1 1 0 1 0 0
1995 0 0 0 0 0 0 0 0 0 75 62 62 61 88 64 81 76 66 61 48 69 57 65 73 96 78 84 109 106 137 117 124 120 92 48 33 22 8 2 4 0 1 0 0
1996 0 0 0 0 0 0 0 0 0 4 6 7 4 9 2 5 2 4 2 4 1 3 3 3 1 9 7 10 4 4 2 2 8 4 3 0 0 0 0 0 0 0 0 0
1997 0 0 0 0 0 0 0 0 0 6 5 0 2 3 4 4 6 2 2 2 1 3 1 0 0 0 1 2 2 0 2 4 3 2 0 1 0 0 0 0 0 0 0 0
1998 0 0 0 0 0 0 0 0 10 40 26 42 35 34 28 10 12 17 4 17 12 9 11 13 1 7 1 6 4 7 2 7 10 2 2 4 3 0 0 0 1 0 0 0
1999 0 0 0 0 14 18 11 24 30 44 35 21 19 20 16 15 18 6 2 4 3 6 3 3 2 7 2 2 6 9 7 6 11 8 9 4 2 3 1 0 0 0 0 0
2000 0 0 0 2 18 23 39 52 62 78 87 83 83 80 61 63 62 46 52 44 38 38 30 15 7 8 8 6 7 3 12 10 8 8 7 2 5 2 1 0 0 0 0 0
2001 0 0 0 14 327 304 286 297 289 280 281 283 238 253 184 154 110 125 76 63 58 52 41 26 20 11 10 8 13 19 22 33 29 26 25 23 16 4 2 1 0 0 0 0
2002 0 0 0 0 118 97 56 50 76 447 382 259 233 221 167 151 135 97 80 62 41 36 41 34 26 16 13 17 18 25 48 43 84 83 76 50 36 15 8 3 2 0 0 0
2003 0 0 1 5 65 40 22 25 34 159 209 204 259 208 153 124 96 50 31 25 23 15 15 16 9 3 8 4 19 25 26 25 37 42 24 24 20 11 1 0 1 0 0 0
2004 0 10 15 7 5 6 9 11 20 224 155 109 136 102 98 118 87 73 53 40 25 20 25 13 9 6 9 9 12 20 20 21 32 43 34 21 13 3 3 1 1 0 1 0
2005 1 11 45 35 23 15 17 9 13 221 186 178 201 162 147 98 69 66 57 43 53 28 19 12 12 8 4 9 13 10 9 18 24 30 28 17 13 7 6 0 0 0 0 0
2006 0 0 1 0 2 10 71 153 213 332 300 251 193 155 165 192 185 160 155 126 119 77 68 49 54 30 14 9 14 27 16 39 45 62 64 32 28 13 12 4 0 2 0 0
2007 0 0 0 0 0 0 0 2 1 244 331 369 381 365 383 346 309 279 242 195 139 142 86 85 64 68 25 28 19 16 15 44 34 39 39 27 18 10 2 1 1 3 0 0
2008 0 0 7 10 37 95 140 10 3 329 250 199 237 254 346 348 354 385 338 299 227 256 154 101 101 72 42 34 20 18 19 20 31 25 25 19 22 6 3 1 0 1 0 0
2009 0 0 2 21 513 465 424 334 370 435 424 357 399 385 322 345 346 346 329 368 324 271 245 183 129 89 65 39 20 22 19 14 23 26 17 18 7 7 2 0 0 1 0 0
2010 0 0 6 13 117 180 201 165 132 132 213 235 278 282 321 359 382 400 357 351 310 243 177 117 71 46 31 19 10 10 18 19 18 25 21 20 8 4 1 0 0 1 0 0
2011 0 0 0 6 393 538 539 403 304 239 162 159 148 159 211 247 239 246 231 221 232 183 154 102 85 51 38 19 17 5 6 5 7 8 11 4 2 2 0 0 0 0 0 0
