      index  analytical        finite     % error 
                              difference 
         1       1.81256       1.81268   6.33851e-05
         2       8.28997       8.29058   7.28059e-05
         3     -0.977065     -0.977065   1.16099e-07
         4   -0.00279244   -0.00279251   2.67214e-05
         5     -0.655538     -0.655538   1.94475e-07
         6     -0.537544     -0.537539   9.12664e-06
         7     0.0372057     0.0372056    1.3055e-06
         8      0.764243      0.764244   6.93841e-07
         9   -0.00263466   -0.00263462   1.50786e-05
        10     0.0278179     0.0278178   3.25655e-06
        11      0.001889    0.00188811   0.000471007
        12       0.03039     0.0303902   8.21423e-06
        13    -0.0443963    -0.0443957   1.25318e-05
        14     0.0330395     0.0330401   1.94307e-05
        15      0.048543     0.0485434   7.46802e-06
        16     0.0718537     0.0718541   5.70175e-06
        17     0.0718664     0.0718672   1.12386e-05
        18   -0.00792957   -0.00792861   0.000120428
        19      0.036708     0.0367094   3.72085e-05
        20     0.0166532     0.0166536   2.18103e-05
        21    -0.0428685    -0.0428689   8.64397e-06
        22      0.347253      0.347254   2.12283e-06
        23             0             0             0
        24    -0.0997741    -0.0997734   7.00209e-06
        25       0.17289      0.172891   3.74263e-06
        26      0.363614      0.363616   5.93097e-06
        27      0.540498        0.5405   2.15012e-06
        28       1.01521       1.01521   8.96122e-07
        29      0.428274      0.428275   1.57149e-06
        30        1.2431       1.24311   1.03004e-06
        31     0.0246212     0.0246251   0.000159064
        32      0.269923      0.269926   1.02599e-05
        33     0.0863696     0.0863718   2.59594e-05
        34    -0.0342969    -0.0342974   1.60262e-05
        35     -0.450085     -0.450084     3.243e-06
        36    0.00559696    0.00559594   0.000181678
        37      -3.89699      -3.89699   5.67137e-07
 **     38  -2.16292e-08             0     0.0211712
        39      0.464194      0.464236    9.0503e-05
        40      0.938182      0.938229   5.04587e-05
        41      0.122916      0.122957   0.000338301
        42     -0.137131      -0.13709   0.000297517
        43     -0.151462     -0.151408    0.00035598
        44    -0.0736204    -0.0735719   0.000658214
        45      0.051404     0.0514232   0.000372648
        46      0.152486      0.152492   4.13602e-05
        47    -0.0832077    -0.0832064   1.56424e-05
        48     -0.152772     -0.152771   2.94354e-06
        49     -0.130267     -0.130266   5.36382e-06
        50     -0.169021      -0.16902   2.54384e-06
        51    -0.0607585    -0.0607582    4.2449e-06
        52    -0.0685961    -0.0685952   1.29545e-05
        53     -0.134678     -0.134677   7.12356e-06
        54     -0.079022    -0.0790227   8.57284e-06
        55    -0.0535163    -0.0535165   3.88965e-06
        56    -0.0896931    -0.0896944   1.46468e-05
        57    -0.0755657    -0.0755663   7.70355e-06
        58     -0.125195     -0.125195   3.50498e-07
        59     -0.134171     -0.134171   7.87317e-07
        60     -0.103213     -0.103213   1.84487e-06
        61     -0.120473     -0.120473   1.64227e-06
        62     -0.112852     -0.112853   1.15222e-05
        63     -0.118698     -0.118699    5.9179e-06
        64     -0.142516     -0.142515    1.9914e-06
        65     -0.155853     -0.155852   4.13517e-06
        66     -0.146056     -0.146058   9.16398e-06
        67     -0.141462     -0.141463    5.3955e-06
        68     -0.132733     -0.132733   1.34829e-06
        69     -0.117846     -0.117846   2.27761e-06
        70     -0.148724     -0.148725   5.93828e-06
        71     -0.146968     -0.146968   4.30256e-06
        72     -0.149468     -0.149469   6.37837e-06
        73     -0.158474     -0.158475   6.48035e-06
        74     -0.150817     -0.150819   9.10454e-06
        75     -0.155324     -0.155325   1.75984e-06
        76     -0.141378     -0.141379   4.04489e-06
        77     -0.130119      -0.13012   1.07329e-05
        78     -0.142124     -0.142125   5.23073e-06
