#K linf phi
0.261119 74.7015 76.3463
0.261087 75.3551 75.2664
0.294709 72.7396 79.054
0.309447 71.3871 75.6872
0.290277 72.9261 77.1001
0.270766 74.1517 82.125
0.271504 74.4452 79.5304
0.275313 73.6614 79.3342
0.289506 72.8927 79.0647
0.309102 71.6217 83.2064
0.295296 72.3583 74.7626
0.29621 72.3147 82.7143
0.287477 72.9215 79.4107
0.293559 72.5308 78.4532
0.277297 73.7016 83.5821
0.292476 72.3985 77.9548
0.277416 73.605 77.2424
0.276787 74.0424 80.0072
0.273791 74.1998 79.6097
0.276967 73.508 79.243
0.258756 75.4336 82.0988
0.245178 76.5251 78.205
0.259526 75.2196 77.5224
0.273065 73.9203 80.1433
0.296365 72.249 78.4747
0.270225 74.6101 75.6247
0.26555 74.589 78.7696
0.283951 73.2442 83.7805
0.282784 73.5106 82.3178
0.261532 75.1364 80.8562
0.26187 74.922 78.8767
0.261846 75.0738 76.2867
0.263154 74.8208 77.2412
0.307152 71.5041 81.0031
0.305154 71.9467 82.0627
0.282265 73.3607 76.8405
0.285683 73.0864 79.8917
0.265349 74.9179 80.3014
0.253539 75.9224 79.6819
0.253637 75.8519 75.1808
0.272378 74.1064 81.2206
0.262459 75.2084 79.2865
0.296297 72.3672 78.7442
0.293553 72.4953 82.8486
0.287064 73.0846 81.5802
0.298224 72.4558 77.5532
0.271433 74.0566 75.7499
0.256477 75.2718 75.9923
0.271661 74.3679 78.6475
0.28149 73.6419 76.6937
0.30756 71.6279 82.0319
0.259644 75.2718 76.8027
0.269281 74.5013 80.5886
0.283014 73.2056 76.857
0.286838 73.0146 79.6035
0.275894 73.6092 81.704
0.281983 73.4699 79.2124
0.274531 74.0424 75.6846
0.301916 72.1925 78.8633
0.29695 72.0288 73.8632
0.313437 71.0953 75.3667
0.296324 72.3166 76.7654
0.295416 72.3082 76.0827
0.278233 73.8253 83.4103
0.248286 76.3364 81.1065
0.262268 74.8433 81.2721
0.262293 74.9609 77.7284
0.252279 76.1297 79.4221
0.277895 73.586 79.014
0.289802 72.5141 75.057
0.27356 74.2101 78.7459
0.300294 72.005 76.5103
0.280595 73.4797 79.5645
0.273109 74.2018 79.5991
0.300185 72.0406 76.8669
0.291195 72.935 78.5002
0.286474 73.1245 80.0418
0.275377 73.9897 79.2594
0.277063 73.6262 80.5967
0.276451 73.518 81.1731
0.280138 73.5464 77.7878
0.264437 74.5604 78.9317
0.298566 72.0121 78.7911
0.280179 73.5819 81.6771
0.246723 76.7617 78.6552
0.269477 74.4707 83.7303
0.25685 75.6981 75.6233
0.274388 74.0103 80.4064
0.260206 75.1681 79.3842
0.266512 74.7045 77.4386
0.276768 73.809 76.6473
0.291786 72.7408 79.9894
0.286331 72.9304 76.2452
0.29154 72.6982 76.3153
0.263472 74.9017 78.3535
0.266589 74.9972 79.8715
0.26282 74.6063 79.1043
0.280745 73.4976 79.6617
0.287646 72.8651 72.7404
0.274428 74.0131 78.6749
0.273941 73.9801 76.1329
0.270556 74.1756 79.9233
0.280958 73.5144 82.3064
0.289738 72.8381 81.7142
0.286106 73.1959 85.4638
0.253231 75.945 79.6603
0.263704 75.0214 80.158
0.258939 75.3982 79.3575
0.281948 73.3908 76.9814
0.271983 73.9382 77.2082
0.304691 71.7659 77.4721
0.275015 73.7288 80.8371
0.29618 72.4153 77.3506
0.271989 74.1858 75.1157
0.289397 73.0498 74.5949
0.257899 75.265 79.8121
0.268255 74.6329 75.6861
0.294935 72.1513 79.6207
0.29181 72.6997 77.7693
0.280961 73.445 76.8838
0.265472 74.6688 80.0777
0.262404 75.3022 76.9244
0.260201 75.374 76.8395
0.269069 74.253 76.8263
0.272793 74.1885 74.0137
0.265162 74.6114 80.4527
0.283211 73.2195 77.1097
0.287203 72.9898 80.5158
0.29214 72.5211 80.4349
0.2848 73.297 84.7313
0.273395 73.8366 80.1163
0.303099 72.1465 79.5525
0.285979 73.1585 81.0088
0.301566 71.8168 76.6656
0.278931 73.3986 79.9517
0.26748 74.5481 76.3886
0.274248 73.7946 81.3342
0.272968 74.3122 75.2652
0.276837 73.6774 79.0863
0.29772 72.0536 79.676
0.314208 70.9279 77.6096
0.299807 72.1277 77.5467
0.271678 74.4582 76.7035
0.276481 73.5837 76.2008
0.279992 73.5644 80.4782
0.276719 73.5896 74.5046
0.287699 72.9408 83.2454
0.280519 73.478 72.8194
0.284543 73.1951 81.3879
0.267471 74.7681 80.504
0.255996 75.5549 73.6981
0.276145 73.9419 78.3407
0.276858 73.7542 77.4602
0.281009 73.5619 77.7569
0.285407 73.0204 76.804
0.271229 74.1141 79.6615
0.282339 73.1611 80.8054
0.276587 73.8331 77.1273
0.27808 73.5851 78.0248
0.308346 71.1594 80.048
0.304462 71.8702 77.5703
0.291607 72.5542 76.8893
0.256067 75.3927 80.1276
0.259094 75.3283 79.1017
0.281665 73.4667 78.1755
0.293534 72.3515 78.5435
0.268838 74.5947 79.619
0.272235 74.2787 74.2925
0.276709 73.4775 77.6327
0.265641 74.5859 74.6126
0.263089 75.0115 79.4615
0.276858 73.8132 77.4783
