GEAR_CODE	GEAR_GROUP
AHP	HOOP
AN	ANGL
AQ	DIP
AQUADOPP	UNK
BI	TRAP
BL	SEINE
BO	TRAP
BP	ELEC
BP1	ELEC
BP2	ELEC
BPBN1	ELEC
BPBN2	ELEC
BS	SEINE
BUCKET	FOODBASE
BX	SEINE
CUPS	PA
DH	HOOP
DIP	DIP
DNL	DIP
DNS	DIP
DR	DIP
DT	GILL
EL	ELEC
EZQ1	UNK
EZQ2	UNK
FR	DIP
G4	GILL
G6	GILL
GF	GILL
GFH	HOOP
GL	GILL
GM	GILL
GN	GILL
GP	GILL
GS	GILL
GX	GILL
GY	GILL
GZ	GILL
HB	HOOP
HC	HOOP
HDL	HYLB
HDLL	HYLB
HESS	FOODBASE
HL	HOOP
HM	HOOP
HM2	HOOP
HM3	HOOP
HMB	HOOP
HN	HOOP
HND	TRAP
HS	HOOP
HS2	HOOP
HS4	HOOP
HW	HOOP
ICM	UNK
KS	SEINE
KSE	SEINE
LL	ANGL
LS	SEINE
LT	TRAP
MB	TRAP
MG	TRAP
MH	HOOP
MHB	HOOP
MHS	HOOP
MILLER	FOODBASE
MT	TRAP
MTM	TRAP
MTP	TRAP
MUX2009	PA
MUX2011	PA
NALLID	FOODBASE
NALOPENING	FOODBASE
OTTSLD2	UNK
PONAR	FOODBASE
PP	DIP
RKGRAB	FOODBASE
SA	SEINE
SABOLSUCK	FOODBASE
SB	SEINE
SC	SEINE
SEN	SEINE
SG	SEINE
SL	SEINE
SLT	TRAP
SPG	ANGL
SS	SEINE
ST	GILL
SU	FOODBASE
SX	SEINE
SYRINGE	FOODBASE
T50	GILL
T75	GILL
TD	GILL
TF	GILL
TK	GILL
TL	GILL
TM	GILL
TN	GILL
TP	GILL
TRA	GILL
TRN	GILL
TS	GILL
TW	GILL
TY	GILL
TZ	GILL
UID	UNK
VO	UNK
WBAC	WEIR
WEIR	WEIR
